"ID","x","y"
"Virtual_Species",117.5,195
"Virtual_Species",10,52.5
"Virtual_Species",12.5,15
"Virtual_Species",82.5,157.5
"Virtual_Species",180,190
"Virtual_Species",35,112.5
"Virtual_Species",182.5,105
"Virtual_Species",185,190
"Virtual_Species",175,172.5
"Virtual_Species",182.5,32.5
"Virtual_Species",197.5,137.5
"Virtual_Species",117.5,175
"Virtual_Species",95,27.5
"Virtual_Species",132.5,105
"Virtual_Species",82.5,80
"Virtual_Species",20,55
"Virtual_Species",17.5,162.5
"Virtual_Species",175,195
"Virtual_Species",45,2.5
"Virtual_Species",15,185
"Virtual_Species",17.5,25
"Virtual_Species",82.5,117.5
"Virtual_Species",167.5,57.5
"Virtual_Species",182.5,117.5
"Virtual_Species",47.5,55
"Virtual_Species",20,22.5
"Virtual_Species",10,42.5
"Virtual_Species",157.5,35
"Virtual_Species",160,152.5
"Virtual_Species",110,92.5
"Virtual_Species",67.5,97.5
"Virtual_Species",45,42.5
"Virtual_Species",62.5,40
"Virtual_Species",157.5,97.5
"Virtual_Species",112.5,145
"Virtual_Species",105,62.5
"Virtual_Species",197.5,70
"Virtual_Species",130,65
"Virtual_Species",120,65
"Virtual_Species",77.5,67.5
"Virtual_Species",125,75
"Virtual_Species",45,22.5
"Virtual_Species",27.5,132.5
"Virtual_Species",87.5,27.5
"Virtual_Species",85,95
"Virtual_Species",147.5,22.5
"Virtual_Species",10,57.5
"Virtual_Species",40,80
"Virtual_Species",15,120
"Virtual_Species",72.5,140
"Virtual_Species",112.5,40
"Virtual_Species",17.5,70
"Virtual_Species",30,25
"Virtual_Species",137.5,45
"Virtual_Species",147.5,50
"Virtual_Species",147.5,110
"Virtual_Species",92.5,90
"Virtual_Species",62.5,125
"Virtual_Species",115,90
"Virtual_Species",5,197.5
"Virtual_Species",37.5,35
"Virtual_Species",45,132.5
"Virtual_Species",70,142.5
"Virtual_Species",170,100
"Virtual_Species",102.5,127.5
"Virtual_Species",67.5,5
"Virtual_Species",190,32.5
"Virtual_Species",45,112.5
"Virtual_Species",177.5,157.5
"Virtual_Species",185,157.5
"Virtual_Species",167.5,92.5
"Virtual_Species",130,185
"Virtual_Species",167.5,122.5
"Virtual_Species",80,95
"Virtual_Species",90,180
"Virtual_Species",122.5,190
"Virtual_Species",125,10
"Virtual_Species",5,57.5
"Virtual_Species",77.5,145
"Virtual_Species",177.5,167.5
"Virtual_Species",127.5,92.5
"Virtual_Species",155,190
"Virtual_Species",97.5,122.5
"Virtual_Species",40,157.5
"Virtual_Species",52.5,187.5
"Virtual_Species",120,87.5
"Virtual_Species",100,127.5
"Virtual_Species",140,10
"Virtual_Species",25,125
"Virtual_Species",150,17.5
"Virtual_Species",62.5,82.5
"Virtual_Species",140,50
"Virtual_Species",155,187.5
"Virtual_Species",10,65
"Virtual_Species",170,172.5
"Virtual_Species",165,107.5
"Virtual_Species",17.5,160
"Virtual_Species",102.5,147.5
"Virtual_Species",102.5,167.5
"Virtual_Species",20,80
"Virtual_Species",167.5,25
"Virtual_Species",35,15
"Virtual_Species",62.5,42.5
"Virtual_Species",185,180
"Virtual_Species",112.5,112.5
"Virtual_Species",85,112.5
"Virtual_Species",12.5,90
"Virtual_Species",112.5,80
"Virtual_Species",97.5,85
"Virtual_Species",155,35
"Virtual_Species",180,30
"Virtual_Species",57.5,2.5
"Virtual_Species",157.5,50
"Virtual_Species",152.5,175
"Virtual_Species",142.5,175
"Virtual_Species",25,127.5
"Virtual_Species",197.5,135
"Virtual_Species",7.5,90
"Virtual_Species",57.5,177.5
"Virtual_Species",72.5,122.5
"Virtual_Species",30,92.5
"Virtual_Species",57.5,10
"Virtual_Species",77.5,25
"Virtual_Species",147.5,130
"Virtual_Species",35,162.5
"Virtual_Species",45,195
"Virtual_Species",135,107.5
"Virtual_Species",105,162.5
"Virtual_Species",197.5,72.5
